testimony_id,no end,no beginning,comments,monologue,not segment and not monologue,pass or fail,time stamps in the file,only answers and not monologue,other,only questions,presence of odd words
irn510645,,,,,,,,,,,
irn510323,1,,,,,1,,,,,
irn511640,,,,,,,,,,,
irn504808,,,,,,,,,,,
irn511654,,,,,,,,,,,
irn504893,,,,,,,,,,,
irn511070,,,,,,,,,,,
irn507303,,,,,,,,,,,
irn511049,0,1,missing chunks of pdf in processing,,,1,,,1,,
irn59194,,,,,,0,,,,,
irn90099,,,,,,0,,,,,
irn504544,1,,,,,1,,,,,
irn508721,,0,,,,1,,,,,
irn508732,,,,,,,,,,,
irn508728,,,,,,,,,,,
irn518431,,,,,,,,,,,
irn510734,,,,,,0,,,,,
irn510458,,,Begins with technical information about interview,,,1,,,1,,
irn514101,,,,,,0,,,,,
irn508691,,,,,,,,,,,
irn504867,,,,,,,,,,,
irn514844,,,,,,,,,,,
irn508262,,,,,,,,,,,
irn505561,,,,,,,,,,,
irn504747,,,,,,,,,,,
irn507571,,,,,,,,,,,
irn506767,,,,,,0,,,,,
irn47822,,,words processed without spacing,,,1,,,1,,
irn517248,,,,,,,,,,,
irn520748,,,,,,0,,,,,
irn506631,,,,,,0,,,,,
irn508747,,,,,,,,,,,
irn510741,,,,,,,,,,,
irn504935,,,,,,,,,,,
irn506710,,,,,,,,,,,
irn508640,,,,,,,,,,,
irn510482,,,,,,,,,,,
irn44419,,,,,,,,,,,
irn41502,,,,,,0,,,,,
irn511052,1,1,chunks of pdf missing in transcription,,,,,,1,,
irn508756,,,,,1,1,,,,,
irn506641,,,,,,,,,,,
irn45193,,,,,,,,,,,
irn510679,,,,,,,,,,,
irn505572,,,,,,,,,,,
irn57423,,,,,,,,,,,
irn511278,,,,,,,,,,,
irn508670,,,,,,,,,,,
irn504794,,,,,,,,,,,
irn185375,,,,,,0,,,,,
